base_price,discounted_price,product_name,category,brand,description
"10,68",7.82,Coffret assortiment 16 chocolats noirs aux alcools - 125g,Epicerie,Saveurs et Nature,Découvrez la finesse de l'accord entre chocolat et alcools.
"4,00",2.60,Roses des sables chocolat au lait - 100g,Epicerie,Grillon d'Or,Un plaisir au chocolat qui ne se refuse pas .
"7,33",5.31,Shampoing argile cheveux gras - 250ml,Hygiène et beauté,Ciel d'Azur,"Un shampoing sans sulfates, parfait pour les cuirs chevelus qui y sont sensibles."
"9,92",7.46,Lotion micellaire - 250ml,Hygiène et beauté,Pur'Aloe,L'alliance du bleuet et de l'aloe vera.
"10,30",6.84,Huile végétale de Carotte - 50 ml,Santé,Laboratoire du Haut Ségala,"Elle contient de la provitamine A qui favorise la production de mélanine. Ainsi, elle est recommandée avant l’exposition au soleil pour faciliter le bronzage et en après-soleil pour améliorer la régénérescence de l’épiderme."
"9,34",6.58,"Baume à lèvres SPF30, 15 ml",Hygiène et beauté,Laboratoire de Biarritz,Baume à lèvres haute protection MER et MONTAGNE SPF30
"13,10",8.86,"Kit sourcils 2 fards et accessoires - 2,4 g",Hygiène et beauté,Santé,Le kit pour sourcils SANTE est l’allié idéal regroupant tout le nécessaire pour avoir des sourcils parfaits.
"39,00",29.25,T-shirt homme manche courte col V - Bordeaux,Vêtements,Le T-shirt propre,"Un t-shirt Propre, c'est : Made in France et 100% coton BIO."
"2,50",1.76,Oignon sturon - 1g,,La belle potagère,"Oignon de forme ronde légèrement allongée, à consommer frais au printemps ou mûr en été. Diamètre de 7 cm environ."
"12,90",8.69,Baume au plantain - 30 ml,Hygiène et beauté,Naturellement simples,Ce baume soulegera les piqures d'insectes et les inflammations.
"5,59",3.74,Fard à paupières 02 Dizzy Golden - 2 g,Hygiène et beauté,Santé,"Le fard à paupières mono couleur SANTE délivre une couleur intense grâce à ses pigments minéraux naturels. Grâce au N°2 Dizzy Golden, les paupières sont sublimées d’un beige chaud scintillant."
"11,18",7.48,Fond de teint liquide effet mat 02 Sand - 30 ml,Hygiène et beauté,Santé,Le fond de teint liquide 02 Sand effet mat SANTE est enrichi en minéraux naturels et en pigments réfléchissants qui subliment le teint par un voile soyeux. La peau est matifiée grâce à l’Evermat TM .
"12,14",9.18,Fond de teint compact 02 Beige - 9 g,Hygiène et beauté,Santé,"Le fond de teint compact SANTE 02 Beige est enrichi en pigments naturels qui permettent d’unifier le teint. Sa formule enrichie en Kalpariane TM permet de renouveler les cellules, quand l’huile d’amande douce bio hydrate intensément la peau."
"17,58",12.46,"CC Crème n° 10 light, 30 ml",Hygiène et beauté,Santé,"Maquillage et soin en un seul produit ! 6 en 1, cette crème correctrice 10 Light apporte un soin à la peau et unifie le teint de manière naturelle."
"10,42",7.86,Lash balm sérum révitalisant cils - 5 ml,Hygiène et beauté,Santé,De cils tout en beauté ! Soin délicat pour les cils.
"32,95",19.81,Flacon alimentaire thermique food flask olive,Tout pour la maison,Black + Blum,"Un flacon alimentaire thermique en acier inoxydable de haute qualité, qui maintient votre nourriture chaude (jusqu’à 6 heures) ou froide (jusqu'à 8 heures)."
"29,90",22.58,Elixir du suédois véritable 40° Bio - 375 ml,Santé,Biofloral,"Connu depuis le Moyen Âge pour ses multiples vertus, l'Élixir du Suédois est utilisé pour stimuler les fonctions digestives, favoriser l'élimination des toxines et combattre la fatigue générale."
"13,50",8.97,"Complexe examens, etudes - spray 20 ml",Santé,Biofloral,"Rend calme et concentré, stabilise et augmente la capacité de la mémoire, permet d'aborder le sujet sereinement."
"7,20",4.90,Perles essentielles ravintsara - 20 ml,Santé,Biofloral,Stimulant : renforce efficacement les défenses naturelles et tonifie. Revigore tout votre corps.
"3,87",3.01,Gourde poire banane millet dès 6 mois - 4x90 g,Bébé et enfant,Babybio,"Quelle agréable surprise pour votre enfant que l'association savoureuse de la poire de France et la banane d'Equateur ! Issus de l'Agriculture Biologique, ces fruits rencontrent le millet, une céréale qui fera le bonheur de votre jeune gourmet."
"9,72",6.97,Couteaux en bois de peuplier - x100,Tout pour la maison,Ecodis,"Couteaux en bois de peuplier biodégradable, elles vous accompagneront pour vos pique-niques et apéritifs."
"12,90",9.74,"Perles de céramique spécial ""vases"" - x15",Tout pour la maison,Les verts moutons,Pour conserver tous vos bouquets de fleurs coupées jusqu’à trois fois plus longtemps.
"5,60",4.27,Myrtilles au sirop - 360 g,Epicerie,Biolo'klock,"Ces myrtilles entières au sirop, 100% françaises, sont conditionnées dans un bocal en verre recyclable de 360 grammes."
"10,70",7.74,Fourchettes en bois de peuplier - x100,Tout pour la maison,Ecodis,"Fourchettes en bois de peuplier biodégradable, elles vous accompagneront pour vos pique-niques et apéritifs."
"7,00",4.37,Tétine caoutchouc naturel 0 à 3 mois - x2,Bébé et enfant,Hevea,La meilleure tétine non toxique. Pour bébés de 0 à 3 mois.
"15,50",8.50,Culotte d'apprentissage 16 à 20kg,Bébé et enfant,Imse Vimse,"La culotte d'apprentissage lavable facilite l'apprentissage de la propreté en limitant les conséquences des petits accidents. Sans matière imperméable apparente, elle ressemble à une culotte 'normale', tout en étant plus sûre."
"19,90",12.32,Couche lavable Pea Cherry - L,Bébé et enfant,P'tits dessous,La couche hybride Petit Pea coloris gris-prune s'utilise avec un insert réutilisable ou à usage unique (à retrouver 
"8,90",5.90,Huile de neem - 50ml,Santé,Laboratoire du Haut Ségala,Idéale pour les peaux à problème.
"4,00",3.04,Cannelle - 30g,Epicerie,Artisans du monde,"Pour les entremets, les gateaux, les vins chauds et les plats de viande."
"3,50",2.66,Gingembre moulu - 50g,Epicerie,Place des épices,Pour des plats avec un véritable caractère.
